EaseOfUse	Gender	Age	DatePosted	Satisfaction	Reason	Supplement	NReviews	Effectiveness
5	Female	35-44	4/15/2013	5	Other	HYALURONIC ACID	221	5
5	Female	55-64	4/8/2013	5	Osteoarthritis	HYALURONIC ACID	221	5
4	Male	65-74	4/2/2013	2	Arthritis	HYALURONIC ACID	221	2
5	Male	55-64	3/15/2013	5	Other	HYALURONIC ACID	221	5
5	Female	35-44	1/13/2013	5	Arthritis	HYALURONIC ACID	221	5
1	Female	45-54	1/5/2013	1	Other	HYALURONIC ACID	221	1
1	Female	35-44	11/30/2012	1	Other	HYALURONIC ACID	221	1
5	Female	25-34	11/21/2012	5	Other	HYALURONIC ACID	221	5
4	Male	35-44	11/10/2012	4	General Health & Wellness	HYALURONIC ACID	221	3
4	Male	45-54	9/25/2012	5	Other	HYALURONIC ACID	221	5
5	Male	65-74	9/15/2012	5	Other	HYALURONIC ACID	221	5
5	Female	45-54	9/5/2012	5	Other	HYALURONIC ACID	221	5
4	Male	45-54	8/9/2012	2	General Health & Wellness	HYALURONIC ACID	221	1
5	Female	45-54	7/3/2012	4	Arthritis	HYALURONIC ACID	221	4
5	Male	55-64	6/24/2012	5	Osteoarthritis	HYALURONIC ACID	221	5
5	Male	65-74	6/5/2012	5	Other	HYALURONIC ACID	221	5
4	Female	55-64	6/2/2012	4	Cataracts	HYALURONIC ACID	221	4
5	Female	55-64	4/18/2012	5	Eye trauma	HYALURONIC ACID	221	4
5	Female	65-74	4/5/2012	5	Osteoarthritis	HYALURONIC ACID	221	5
5	Female	45-54	2/5/2012	5	Skin wounds	HYALURONIC ACID	221	5
5	Female	55-64	1/21/2012	5	Osteoarthritis	HYALURONIC ACID	221	5
5	Female	45-54	12/2/2011	5	Osteoarthritis	HYALURONIC ACID	221	5
5	Female	65-74	11/8/2011	5	Arthritis	HYALURONIC ACID	221	5
5	Female	55-64	11/7/2011	5	Osteoarthritis	HYALURONIC ACID	221	5
5	Female	55-64	10/9/2011	5	Oral mucositis	HYALURONIC ACID	221	5
5	Male	55-64	9/20/2011	5	Osteoarthritis	HYALURONIC ACID	221	5
5	Female	65-74	8/24/2011	5	Arthritis	HYALURONIC ACID	221	5
5	Female	45-54	7/25/2011	5	Other	HYALURONIC ACID	221	5
4	Female	45-54	7/17/2011	4	Arthritis	HYALURONIC ACID	221	3
4	Female	45-54	7/10/2011	1	Arthritis	HYALURONIC ACID	221	1
5	Male	55-64	6/15/2011	4	Arthritis	HYALURONIC ACID	221	4
5	Female	55-64	5/21/2011	1	Other	HYALURONIC ACID	221	1
5	Female	65-74	4/28/2011	5	Arthritis	HYALURONIC ACID	221	5
2	Male	65-74	3/3/2011	4	Other	HYALURONIC ACID	221	4
5	Male	65-74	2/19/2011	4	Osteoarthritis	HYALURONIC ACID	221	3
5	Male	osteo-biflex,	2/15/2011	4	Arthritis	HYALURONIC ACID	221	4
4	Female	45-54	11/19/2010	4	General Health & Wellness	HYALURONIC ACID	221	4
5	Female	65-74	11/9/2010	5	Arthritis	HYALURONIC ACID	221	5
5	Male	45-54	11/5/2010	5	Osteoarthritis	HYALURONIC ACID	221	5
5	Male	65-74	10/28/2010	5	Other	HYALURONIC ACID	221	5
5	Female	55-64	10/25/2010	5	Arthritis	HYALURONIC ACID	221	4
1	Male	35-44	10/20/2010	1	Osteoarthritis	HYALURONIC ACID	221	1
5	Male	65-74	9/22/2010	4	Osteoarthritis	HYALURONIC ACID	221	4
5	Female	65-74	9/18/2010	3	Arthritis	HYALURONIC ACID	221	3
5	Female	65-74	9/15/2010	5	Other	HYALURONIC ACID	221	5
5	Female	45-54	8/31/2010	5	Other	HYALURONIC ACID	221	5
2	Female	55-64	7/18/2010	5	Osteoarthritis	HYALURONIC ACID	221	5
4	Female	55-64	6/14/2010	4	Arthritis	HYALURONIC ACID	221	5
4	Male	45-54	6/9/2010	4	Arthritis	HYALURONIC ACID	221	4
5	Male	35-44	4/22/2010	5	General Health & Wellness	HYALURONIC ACID	221	4
5	Female	65-74	3/29/2010	1	General Health & Wellness	HYALURONIC ACID	221	1
3	Male	25-34	3/12/2010	4	Arthritis	HYALURONIC ACID	221	3
4	Female	65-74	3/7/2010	4	Osteoarthritis	HYALURONIC ACID	221	4
3	Female	55-64	2/11/2010	4	Arthritis	HYALURONIC ACID	221	4
5	Female	65-74	2/8/2010	5	Other	HYALURONIC ACID	221	5
5	Female	45-54	10/16/2009	5	Arthritis	HYALURONIC ACID	221	5
3	Female	35-44	1/30/2019	1	"Polycystic ovary syndrome (PCO...
							"	INOSITOL	60	1
1	Female	35-44	10/11/2018	1	"Polycystic ovary syndrome (PCO...
							"	INOSITOL	60	1
5	Female	65-74	4/5/2018	5	Anxiety	INOSITOL	60	4
5	Female	45-54	9/24/2017	4	Other	INOSITOL	60	5
2	Female	55-64	6/8/2017	2	Neuropathic pain	INOSITOL	60	3
5	Male	45-54	3/25/2017	5	Panic disorder	INOSITOL	60	5
5	Female	55-64	3/11/2016	1	Other	INOSITOL	60	1
5	Male	35-44	10/3/2015	5	"Attention deficit-hyperactivit...
							"	INOSITOL	60	5
4	Female	35-44	10/2/2015	1	"Obsessive-compulsive disorder ...
							"	INOSITOL	60	1
5	Female	55-64	9/28/2015	4	Other	INOSITOL	60	4
5	Male	55-64	7/17/2015	5	Other	INOSITOL	60	5
4	Female	25-34	5/11/2015	4	Panic disorder	INOSITOL	60	4
4	Male	19-24	4/1/2015	5	Other	INOSITOL	60	5
5	Female	55-64	4/1/2015	4	Other	INOSITOL	60	3
5	Female	25-34	3/27/2015	5	"Polycystic ovary syndrome (PCO...
							"	INOSITOL	60	5
5	Female	25-34	1/22/2015	5	OCD	INOSITOL	60	5
4	Female	45-54	12/7/2014	2	Other	INOSITOL	60	3
5	Female	19-24	12/7/2014	5	"Polycystic ovary syndrome (PCO...
							"	INOSITOL	60	5
5	Male	65-74	11/14/2014	3	Depression	INOSITOL	60	4
5	Female	45-54	10/7/2014	5	General Health & Wellness	INOSITOL	60	5
5	Female	65-74	9/17/2014	5	General Health & Wellness	INOSITOL	60	4
5	Female	45-54	8/28/2014	5	"Obsessive-compulsive disorder ...
							"	INOSITOL	60	5
5	Female	45-54	6/13/2014	3	ADHD	INOSITOL	60	3
4	Female	25-34	3/24/2014	4	"Obsessive-compulsive disorder ...
							"	INOSITOL	60	4
5	Female	45-54	2/6/2014	5	Neuropathic pain	INOSITOL	60	5
3	Female	35-44	12/30/2013	4	Panic disorder	INOSITOL	60	4
2	Female	19-24	10/5/2013	1	Schizophrenia	INOSITOL	60	1
5	Female	25-34	10/1/2013	5	Panic disorder	INOSITOL	60	5
4	Male	45-54	7/10/2013	1	"Obsessive-compulsive disorder ...
							"	INOSITOL	60	4
5	Female	45-54	7/5/2013	5	OCD	INOSITOL	60	5
5	Female	55-64	9/18/2012	5	Depression	INOSITOL	60	5
2	Female	45-54	5/21/2012	2	Depression	INOSITOL	60	2
4	Female	45-54	3/8/2012	5	"Obsessive-compulsive disorder ...
							"	INOSITOL	60	5
5	Male	25-34	10/7/2011	5	Panic disorder	INOSITOL	60	5
5	Female	35-44	8/2/2011	5	Depression	INOSITOL	60	5
5	Male	19-24	4/18/2011	5	OCD	INOSITOL	60	5
5	Female	35-44	4/1/2011	5	OCD	INOSITOL	60	5
5	Female	35-44	2/8/2011	5	ADHD	INOSITOL	60	5
5	Male	35-44	4/22/2010	5	OCD	INOSITOL	60	5
5	Female	55-64	8/13/2017	5	Hypothyroidism	IODINE	23	5
5	Male	55-64	2/5/2017	5	General Health & Wellness	IODINE	23	4
5	Female	55-64	10/20/2015	5	Thyroid conditions	IODINE	23	5
5	Male	19-24	4/20/2015	5	General Health & Wellness	IODINE	23	5
4	Male	65-74	1/12/2015	4	Skin wounds	IODINE	23	4
5	Female	35-44	11/9/2014	5	Other	IODINE	23	5
5	Female	65-74	9/28/2014	5	Iodine deficiency	IODINE	23	5
5	Female	45-54	5/6/2014	5	General Health & Wellness	IODINE	23	5
4	Female	65-74	4/9/2014	4	General Health & Wellness	IODINE	23	4
3	Male	45-54	1/4/2014	4	Radiation exposure	IODINE	23	4
5	Female	45-54	11/18/2013	5	Other	IODINE	23	5
5	Female	35-44	11/8/2013	5	General Health & Wellness	IODINE	23	5
5	Male	55-64	11/5/2013	5	Iodine deficiency	IODINE	23	5
5	Female	35-44	9/28/2011	5	Hypothyroidism	IODINE	23	5
3	Female	55-64	7/17/2011	2	Hypothyroidism	IODINE	23	3
4	Female	daisey-52,	11/29/2010	4	Thyroid conditions	IODINE	23	4
5	Male	65-74	11/19/2010	3	Other	IODINE	23	4
1	Female	45-54	12/4/2009	1	Thyroid conditions	IODINE	23	1
1	Female	liqui-kelp,	9/11/2009	1	Other	IODINE	23	1
5	Male	55-64	4/21/2017	5	General Health & Wellness	IRON	63	5
3	Female	35-44	2/3/2016	2	Anemia	IRON	63	2
1	Female	55-64	10/23/2014	1	Anemia	IRON	63	2
5	Female	55-64	10/3/2014	2	Iron deficiency anemia	IRON	63	3
5	Female	45-54	9/29/2014	2	Anemia	IRON	63	4
5	Female	45-54	7/15/2014	3	Anemia	IRON	63	3
4	Female	45-54	7/8/2014	4	Fatigue	IRON	63	4
4	Female	45-54	5/5/2014	1	Anemia	IRON	63	3
4	Female	35-44	3/14/2014	2	Anemia	IRON	63	3
5	Male	25-34	2/4/2014	4	Anemia of chronic disease	IRON	63	5
5	Female	45-54	1/28/2014	1	Anemia	IRON	63	1
1	Female	55-64	11/27/2013	1	Anemia	IRON	63	1
5	Male	55-64	11/17/2013	3	General Health & Wellness	IRON	63	3
4	Female	45-54	9/6/2013	4	Anemia	IRON	63	4
4	Female	45-54	8/9/2013	4	Anemia of chronic disease	IRON	63	4
4	Male	65-74	6/19/2013	2	Anemia	IRON	63	3
2	Female	65-74	3/28/2013	3	Anemia	IRON	63	3
5	Female	45-54	1/27/2013	5	Anemia	IRON	63	5
5	Male	55-64	12/26/2012	5	Other	IRON	63	5
2	Female	55-64	11/19/2012	1	Other	IRON	63	2
1	Male	45-54	9/3/2012	1	Anemia	IRON	63	1
5	Female	25-34	8/22/2012	5	Anemia	IRON	63	5
5	Male	65-74	3/3/2012	5	Other	IRON	63	5
4	Female	35-44	12/25/2011	2	Anemia	IRON	63	3
4	Female	19-24	12/10/2011	4	Fatigue	IRON	63	4
5	Male	55-64	9/16/2011	3	Fatigue	IRON	63	3
3	Female	65-74	5/1/2011	2	Anemia	IRON	63	5
4	Female	25-34	10/29/2010	5	Iron deficiency anemia	IRON	63	5
5	Female	35-44	9/3/2010	5	Anemia	IRON	63	5
3	Female	19-24	5/5/2010	2	Iron deficiency anemia	IRON	63	1
3	Male	19-24	4/10/2010	2	General Health & Wellness	IRON	63	2
3	Male	25-34	3/16/2010	4	ACE inhibitor-associated cough	IRON	63	3
3	Male	25-34	3/15/2010	4	ACE inhibitor-associated cough	IRON	63	3
3	Male	25-34	3/12/2010	4	ACE inhibitor-associated cough	IRON	63	3
3	Male	25-34	3/12/2010	4	ACE inhibitor-associated cough	IRON	63	3
5	Male	7-12	3/11/2010	5	ADHD	IRON	63	5
5	Female	35-44	3/7/2010	5	Anemia	IRON	63	5
4	Female	45-54	2/20/2010	3	Anemia	IRON	63	2
5	Female	19-24	2/4/2010	4	Fatigue	IRON	63	4
5	Female	35-44	12/10/2009	4	Iron deficiency anemia	IRON	63	5
5	Female	35-44	2/28/2009	3	Other	IRON	63	3
4	Female	19-24	2/20/2009	1	Other	IRON	63	1
3	Female	35-44	2/8/2009	3	Other	IRON	63	3
5	Female	45-54	1/14/2009	4	Other	IRON	63	5
5	Female	45-54	10/28/2008	2	Other	IRON	63	3
5	Female	35-44	10/13/2008	3	Other	IRON	63	3
2	Male	55-64	9/26/2008	2	Other	IRON	63	3
2	Female	35-44	5/2/2008	2	Other	IRON	63	2
4	Female	45-54	2/7/2017	5	Cholesterol	KRILL OIL	190	5
5	Male	35-44	12/12/2016	5	High cholesterol	KRILL OIL	190	5
1	Female	55-64	9/19/2016	1	General Health & Wellness	KRILL OIL	190	1
4	Male	55-64	7/28/2016	2	General Health & Wellness	KRILL OIL	190	2
5	Female	35-44	6/10/2016	5	Other	KRILL OIL	190	5
5	Female	65-74	4/28/2016	5	Other	KRILL OIL	190	5
4	Female	55-64	3/22/2016	4	Cholesterol	KRILL OIL	190	5
5	Male	65-74	3/17/2016	4	Cholesterol	KRILL OIL	190	5
4	Female	65-74	11/15/2015	2	General Health & Wellness	KRILL OIL	190	2
5	Female	35-44	10/13/2015	5	Arthritis	KRILL OIL	190	5
5	Male	45-54	9/29/2015	5	Other	KRILL OIL	190	5
5	Male	45-54	7/21/2015	3	General Health & Wellness	KRILL OIL	190	4
5	Male	45-54	6/25/2015	5	Cholesterol	KRILL OIL	190	5
4	Male	45-54	5/25/2015	4	Osteoarthritis	KRILL OIL	190	4
5	Male	55-64	5/24/2015	1	General Health & Wellness	KRILL OIL	190	1
5	Male	65-74	5/22/2015	3	Cholesterol	KRILL OIL	190	3
5	Male	45-54	5/15/2015	5	Cholesterol	KRILL OIL	190	5
4	Female	65-74	5/12/2015	1	Rheumatoid arthritis (RA)	KRILL OIL	190	1
5	Male	65-74	3/31/2015	5	General Health & Wellness	KRILL OIL	190	5
5	Female	55-64	3/31/2015	5	Cholesterol	KRILL OIL	190	5
5	Male	65-74	3/30/2015	3	Cholesterol	KRILL OIL	190	3
5	Female	45-54	3/26/2015	4	General Health & Wellness	KRILL OIL	190	5
5	Male	55-64	2/25/2015	1	Cholesterol	KRILL OIL	190	1
5	Female	55-64	2/2/2015	3	Cholesterol	KRILL OIL	190	3
3	Female	45-54	1/23/2015	3	Arthritis	KRILL OIL	190	4
5	Male	55-64	1/16/2015	5	Cholesterol	KRILL OIL	190	5
5	Female	65-74	1/3/2015	2	Cholesterol	KRILL OIL	190	2
5	Male	45-54	12/30/2014	1	Cholesterol	KRILL OIL	190	4
5	Male	65-74	12/30/2014	5	Arthritis	KRILL OIL	190	5
4	Male	55-64	12/21/2014	1	Cholesterol	KRILL OIL	190	3
4	Male	65-74	11/16/2014	3	General Health & Wellness	KRILL OIL	190	2
5	Female	55-64	11/8/2014	5	Other	KRILL OIL	190	5
5	Female	65-74	11/1/2014	3	Cholesterol	KRILL OIL	190	5
5	Male	55-64	10/10/2014	5	General Health & Wellness	KRILL OIL	190	5
3	Female	45-54	10/5/2014	1	General Health & Wellness	KRILL OIL	190	1
5	Male	55-64	10/4/2014	5	General Health & Wellness	KRILL OIL	190	4
3	Male	25-34	8/29/2014	3	Cholesterol	KRILL OIL	190	3
5	Male	35-44	8/23/2014	1	Other	KRILL OIL	190	1
4	Female	45-54	7/26/2014	4	General Health & Wellness	KRILL OIL	190	4
5	Male	65-74	7/19/2014	4	General Health & Wellness	KRILL OIL	190	4
4	Female	65-74	5/14/2014	3	Arthritis	KRILL OIL	190	4
5	Female	55-64	4/30/2014	5	Arthritis	KRILL OIL	190	5
5	Female	55-64	4/21/2014	2	Cholesterol	KRILL OIL	190	5
5	Female	45-54	4/20/2014	5	Other	KRILL OIL	190	5
4	Female	55-64	4/13/2014	1	Hypercholesterolemia	KRILL OIL	190	4
5	Female	55-64	3/26/2014	5	Arthritis	KRILL OIL	190	5
5	Male	25-34	3/20/2014	1	Other	KRILL OIL	190	2
4	Male	35-44	3/17/2014	1	General Health & Wellness	KRILL OIL	190	2
5	Female	55-64	3/16/2014	5	Arthritis	KRILL OIL	190	5
3	Male	65-74	3/5/2014	3	General Health & Wellness	KRILL OIL	190	3
5	Male	55-64	2/14/2014	5	Cholesterol	KRILL OIL	190	5
4	Female	45-54	1/26/2014	2	Other	KRILL OIL	190	2
5	Male	55-64	1/24/2014	5	Cholesterol	KRILL OIL	190	5
5	Female	45-54	1/12/2014	5	Arthritis	KRILL OIL	190	5
5	Male	65-74	1/10/2014	3	Hyperlipidemia	KRILL OIL	190	3
4	Male	45-54	1/9/2014	4	Arthritis	KRILL OIL	190	4
4	Female	45-54	12/27/2013	4	Arthritis	KRILL OIL	190	4
4	Male	45-54	11/13/2013	4	Rheumatoid arthritis (RA)	KRILL OIL	190	4
5	Female	45-54	10/27/2013	5	Other	KRILL OIL	190	5
1	Female	55-64	10/24/2013	1	Cholesterol	KRILL OIL	190	5
5	Female	55-64	10/14/2013	5	General Health & Wellness	KRILL OIL	190	5
5	Male	65-74	10/4/2013	5	Cholesterol	KRILL OIL	190	5
5	Male	45-54	8/25/2013	5	Arthritis	KRILL OIL	190	5
5	Male	55-64	8/12/2013	4	General Health & Wellness	KRILL OIL	190	4
4	Female	45-54	7/26/2013	1	General Health & Wellness	KRILL OIL	190	1
5	Female	55-64	6/24/2013	5	Arthritis	KRILL OIL	190	5
5	Female	45-54	6/18/2013	5	Cholesterol	KRILL OIL	190	5
5	Female	45-54	6/13/2013	1	Arthritis	KRILL OIL	190	1
5	Female	45-54	6/8/2013	3	Arthritis	KRILL OIL	190	1
5	Male	55-64	6/5/2013	5	General Health & Wellness	KRILL OIL	190	5
5	Male	55-64	5/26/2013	5	Arthritis	KRILL OIL	190	5
5	Female	55-64	5/26/2013	5	General Health & Wellness	KRILL OIL	190	5
1	Female	45-54	5/16/2013	1	General Health & Wellness	KRILL OIL	190	1
5	Male	65-74	5/12/2013	4	Arthritis	KRILL OIL	190	5
5	Female	55-64	5/8/2013	4	Cholesterol	KRILL OIL	190	4
5	Female	65-74	5/5/2013	5	Arthritis	KRILL OIL	190	4
5	Female	45-54	4/8/2013	1	General Health & Wellness	KRILL OIL	190	1
1	Male	45-54	4/2/2013	1	General Health & Wellness	KRILL OIL	190	1
5	Female	25-34	4/1/2013	1	Cholesterol	KRILL OIL	190	1
4	Male	55-64	3/27/2013	3	Cholesterol	KRILL OIL	190	2
5	Female	55-64	3/23/2013	5	Cholesterol	KRILL OIL	190	5
5	Female	55-64	3/21/2013	1	General Health & Wellness	KRILL OIL	190	1
5	Female	45-54	2/26/2013	5	Other	KRILL OIL	190	5
5	Female	45-54	2/20/2013	5	Rheumatoid arthritis (RA)	KRILL OIL	190	4
4	Female	45-54	1/8/2013	4	Cholesterol	KRILL OIL	190	4
5	Female	45-54	1/3/2013	5	Rheumatoid arthritis (RA)	KRILL OIL	190	5
5	Female	35-44	11/25/2012	5	General Health & Wellness	KRILL OIL	190	4
5	Male	45-54	11/9/2012	5	Cholesterol	KRILL OIL	190	5
5	Female	55-64	10/24/2012	5	Cholesterol	KRILL OIL	190	5
5	Female	55-64	10/20/2012	5	Arthritis	KRILL OIL	190	5
4	Female	55-64	10/9/2012	3	Arthritis	KRILL OIL	190	3
5	Male	45-54	10/5/2012	5	General Health & Wellness	KRILL OIL	190	5
4	Female	25-34	9/5/2012	2	Premenstrual syndrome (PMS)	KRILL OIL	190	2
3	Female	55-64	8/27/2012	3	General Health & Wellness	KRILL OIL	190	3
5	Female	45-54	8/8/2012	5	Arthritis	KRILL OIL	190	5
4	Female	45-54	7/25/2012	1	Hypercholesterolemia	KRILL OIL	190	1
5	Female	55-64	7/12/2012	5	General Health & Wellness	KRILL OIL	190	5
5	Female	65-74	5/29/2012	1	Arthritis	KRILL OIL	190	3
5	Male	55-64	5/28/2012	5	General Health & Wellness	KRILL OIL	190	4
5	Female	65-74	5/18/2012	5	Arthritis	KRILL OIL	190	5
5	Male	35-44	4/26/2012	1	Cholesterol	KRILL OIL	190	1
3	Female	65-74	4/17/2012	3	General Health & Wellness	KRILL OIL	190	3
5	Female	55-64	3/8/2012	5	Other	KRILL OIL	190	5
5	Female	25-34	3/7/2012	3	PMS	KRILL OIL	190	3
5	Male	65-74	3/3/2012	4	General Health & Wellness	KRILL OIL	190	4
4	Female	65-74	2/20/2012	1	Hypercholesterolemia	KRILL OIL	190	4
5	Female	55-64	2/17/2012	5	Hypercholesterolemia	KRILL OIL	190	5
5	Male	55-64	2/1/2012	5	General Health & Wellness	KRILL OIL	190	5
5	Male	19-24	12/29/2011	5	General Health & Wellness	KRILL OIL	190	5
5	Female	45-54	11/23/2011	5	Rheumatoid arthritis (RA)	KRILL OIL	190	5
4	Female	65-74	11/17/2011	1	Hypercholesterolemia	KRILL OIL	190	2
5	Male	45-54	11/10/2011	4	General Health & Wellness	KRILL OIL	190	4
5	Female	45-54	10/14/2011	5	General Health & Wellness	KRILL OIL	190	5
5	Female	55-64	8/18/2011	5	Cholesterol	KRILL OIL	190	5
5	Male	55-64	8/7/2011	5	Cholesterol	KRILL OIL	190	5
5	Male	45-54	7/18/2011	5	Cholesterol	KRILL OIL	190	5
5	Male	65-74	6/27/2011	1	Cholesterol	KRILL OIL	190	1
5	Male	19-24	5/31/2011	4	Other	KRILL OIL	190	4
5	Male	45-54	5/12/2011	3	Osteoarthritis	KRILL OIL	190	4
1	Female	55-64	4/17/2011	1	Other	KRILL OIL	190	1
5	Female	35-44	4/16/2011	5	Cholesterol	KRILL OIL	190	5
5	Male	35-44	2/14/2011	5	Cholesterol	KRILL OIL	190	5
5	Female	55-64	12/9/2010	5	Arthritis	KRILL OIL	190	5
5	Male	55-64	11/26/2010	5	Osteoarthritis	KRILL OIL	190	5
4	Female	45-54	11/1/2010	2	General Health & Wellness	KRILL OIL	190	4
5	Male	65-74	9/29/2010	5	Cholesterol	KRILL OIL	190	5
5	Male	55-64	8/29/2010	5	Arthritis	KRILL OIL	190	5
4	Female	65-74	8/26/2010	3	Cholesterol	KRILL OIL	190	4
5	Female	35-44	8/19/2010	5	General Health & Wellness	KRILL OIL	190	5
5	Female	55-64	5/17/2010	5	Cholesterol	KRILL OIL	190	2
5	Female	55-64	5/17/2010	5	General Health & Wellness	KRILL OIL	190	5
5	Female	35-44	2/16/2010	5	Premenstrual syndrome (PMS)	KRILL OIL	190	5
3	Male	25-34	3/15/2010	4	Arthritis	KRILL OIL	190	3
3	Male	25-34	3/12/2010	4	Arthritis	KRILL OIL	190	3
5	Female	55-64	2/22/2010	1	Other	KRILL OIL	190	3
5	Female	45-54	1/17/2010	1	General Health & Wellness	KRILL OIL	190	1
4	Male	25-34	12/17/2018	4	Pain	L-ARGININE	120	5
4	Male	65-74	7/26/2017	4	High blood pressure	L-ARGININE	120	4
5	Male	65-74	3/11/2017	5	Hypertension	L-ARGININE	120	5
5	Female	55-64	2/16/2017	1	General Health & Wellness	L-ARGININE	120	1
5	Male	45-54	11/29/2016	1	ED	L-ARGININE	120	1
4	Female	55-64	11/27/2016	4	High blood pressure	L-ARGININE	120	5
5	Male	45-54	3/14/2016	5	High blood pressure	L-ARGININE	120	5
5	Male	35-44	2/3/2016	5	Erectile dysfunction (ED)	L-ARGININE	120	5
5	Male	55-64	2/2/2016	5	Diabetic nephropathy	L-ARGININE	120	4
3	Male	55-64	12/28/2015	3	ED	L-ARGININE	120	3
5	Male	55-64	7/28/2015	5	Diabetes	L-ARGININE	120	5
5	Female	55-64	5/27/2015	5	Nitrate tolerance	L-ARGININE	120	5
4	Male	65-74	5/4/2015	1	Diabetic nephropathy	L-ARGININE	120	1
4	Male	45-54	4/25/2015	5	Exercise performance	L-ARGININE	120	5
4	Female	65-74	4/18/2015	4	Neuropathic pain	L-ARGININE	120	4
5	Male	45-54	4/1/2015	5	PAD	L-ARGININE	120	5
4	Male	45-54	3/22/2015	4	Hyperglycemia	L-ARGININE	120	4
4	Male	55-64	2/15/2015	4	Diabetic neuropathy	L-ARGININE	120	4
5	Male	55-64	2/3/2015	5	Cholesterol	L-ARGININE	120	5
5	Male	45-54	12/13/2014	5	ED	L-ARGININE	120	5
4	Male	45-54	12/8/2014	4	Exercise performance	L-ARGININE	120	4
5	Male	55-64	11/3/2014	5	Other	L-ARGININE	120	5
5	Male	55-64	10/19/2014	5	High blood pressure	L-ARGININE	120	5
5	Female	55-64	9/26/2014	5	Heart failure	L-ARGININE	120	5
5	Male	35-44	7/7/2014	5	General Health & Wellness	L-ARGININE	120	5
5	Male	65-74	6/17/2014	5	Congestive heart failure (CHF)	L-ARGININE	120	5
5	Male	65-74	6/13/2014	5	Angina	L-ARGININE	120	5
5	Female	65-74	5/21/2014	5	Interstitial cystitis	L-ARGININE	120	5
5	Female	45-54	5/13/2014	5	Migraine headache 	L-ARGININE	120	5
5	Male	65-74	4/30/2014	5	Angina	L-ARGININE	120	5
5	Male	65-74	4/28/2014	5	Angina	L-ARGININE	120	5
4	Male	25-34	3/28/2014	4	Hypertension	L-ARGININE	120	5
5	Male	45-54	3/16/2014	5	Other	L-ARGININE	120	5
5	Male	55-64	3/6/2014	5	General Health & Wellness	L-ARGININE	120	5
5	Male	65-74	2/26/2014	5	Angina	L-ARGININE	120	5
5	Male	65-74	2/22/2014	5	High blood pressure	L-ARGININE	120	5
5	Male	45-54	2/21/2014	1	Other	L-ARGININE	120	2
5	Male	25-34	1/14/2014	5	Other	L-ARGININE	120	5
5	Male	19-24	1/10/2014	4	Post-surgery recovery	L-ARGININE	120	4
5	Male	55-64	1/3/2014	1	Intermittent claudication	L-ARGININE	120	1
5	Female	65-74	12/28/2013	4	Interstitial cystitis	L-ARGININE	120	3
4	Male	65-74	11/26/2013	4	General Health & Wellness	L-ARGININE	120	4
5	Male	19-24	9/11/2013	5	"Cancer chemotherapy side effec...
							"	L-ARGININE	120	5
5	Female	55-64	9/3/2013	5	Migraine headache 	L-ARGININE	120	5
5	Male	55-64	8/27/2013	3	Congestive heart failure (CHF)	L-ARGININE	120	3
5	Male	55-64	7/12/2013	5	Headache	L-ARGININE	120	5
5	Male	35-44	8/7/2013	5	Hypertension	L-ARGININE	120	5
5	Male	55-64	6/13/2013	5	Angina	L-ARGININE	120	5
5	Female	25-34	6/11/2013	4	High blood pressure	L-ARGININE	120	4
5	Male	35-44	5/31/2013	5	High blood pressure	L-ARGININE	120	5
4	Male	65-74	4/18/2013	4	Congestive heart failure (CHF)	L-ARGININE	120	3
5	Male	65-74	4/17/2013	5	ED	L-ARGININE	120	4
5	Male	45-54	4/2/2013	5	ED	L-ARGININE	120	5
3	Male	55-64	10/5/2012	3	Diabetic foot ulcers	L-ARGININE	120	3
5	Female	45-54	9/7/2012	5	General Health & Wellness	L-ARGININE	120	5
5	Male	55-64	8/27/2012	1	Impotence	L-ARGININE	120	1
5	Female	45-54	6/19/2012	5	Migraine headache 	L-ARGININE	120	5
5	Female	45-54	3/20/2012	5	Migraine headache 	L-ARGININE	120	5
5	Female	45-54	3/6/2012	1	General Health & Wellness	L-ARGININE	120	1
5	Female	35-44	1/5/2012	3	Other	L-ARGININE	120	3
5	Female	35-44	1/5/2012	4	Headache	L-ARGININE	120	4
4	Male	65-74	12/14/2011	1	Impotence	L-ARGININE	120	2
5	Female	65-74	11/15/2011	4	Headache	L-ARGININE	120	4
5	Male	55-64	11/9/2011	5	Heart failure	L-ARGININE	120	5
5	Male	35-44	11/1/2011	5	ED	L-ARGININE	120	5
4	Male	35-44	10/16/2011	4	ED	L-ARGININE	120	4
5	Male	45-54	9/21/2011	4	Impotence	L-ARGININE	120	4
5	Male	45-54	9/1/2011	5	Other	L-ARGININE	120	4
5	Male	35-44	8/31/2011	5	Erectile dysfunction (ED)	L-ARGININE	120	5
5	Male	45-54	8/31/2011	5	Erectile dysfunction (ED)	L-ARGININE	120	4
5	Male	65-74	8/29/2011	5	Erectile dysfunction (ED)	L-ARGININE	120	5
5	Female	55-64	8/23/2011	5	High blood pressure	L-ARGININE	120	5
5	Female	45-54	8/19/2011	5	General Health & Wellness	L-ARGININE	120	5
5	Male	45-54	7/23/2011	5	Erectile dysfunction (ED)	L-ARGININE	120	5
5	Male	55-64	7/20/2011	5	Erectile dysfunction (ED)	L-ARGININE	120	4
4	Male	45-54	7/17/2011	5	Erectile dysfunction (ED)	L-ARGININE	120	4
5	Male	55-64	6/23/2011	5	High blood pressure	L-ARGININE	120	5
